column_name,missing_count,missing_percent
airport_fee,1038447,27.03
rate_code_id,1038447,27.03
congestion_surcharge,1038447,27.03
vendor_id,0,0.0
dropoff_datetime,0,0.0
trip_distance,0,0.0
store_and_forward_flag,0,0.0
dropoff_location_id,0,0.0
extra_charge,0,0.0
metered_rate_tax,0,0.0
tip_amount,0,0.0
total_amount,0,0.0
cbd_congestion_fee,0,0.0
year,0,0.0
trip_distance_unit,0,0.0
suspicious,0,0.0
pickup_datetime,0,0.0
passenger_count,0,0.0
pickup_location_id,0,0.0
payment_type_id,0,0.0
fare_amount,0,0.0
tolls_amount,0,0.0
improvement_surcharge,0,0.0
month,0,0.0
currency,0,0.0
